COMS,3Com Corporation  
ADPT,"Adaptec, Inc."
ADCT,"ADC Telecommunications, Inc."
ADLAC,Adelphia Communications Corporation
ADBE,Adobe Systems Incorporated
ALTR,Altera Corporation
AMZN,"Amazon.com, Inc."
APCC,American Power Conversion Corporation
AMGN,Amgen Inc.
APOL,"Apollo Group, Inc."
AAPL,"Apple Computer, Inc."
AMAT,"Applied Materials, Inc."
AMCC,Applied Micro Circuits Corporation
ARBA,"Ariba, Inc."
ATHM,At Home Corporation
ATML,Atmel Corporation
BBBY,Bed Bath & Beyond Inc.
BGEN,"Biogen, Inc."
BMET,"Biomet, Inc."
BMCS,"BMC Software, Inc."
BRCM,Broadcom Corporation
BVSN,"BroadVision, Inc."
CHIR,Chiron Corporation
CIEN,CIENA Corporation
CTAS,Cintas Corporation
CSCO,"Cisco Systems, Inc."
CTXS,"Citrix Systems, Inc."
CMGI,"CMGI, Inc."
CNET,"CNET Networks, Inc."
CMCSK,Comcast Corporation
CPWR,Compuware Corporation
CMVT,"Comverse Technology, Inc."
CEFT,"Concord EFS, Inc."
CNXT,"Conexant Systems, Inc."
COST,Costco Wholesale Corporation
DELL,Dell Computer Corporation
DLTR,"Dollar Tree Stores, Inc."
EBAY,eBay Inc.
DISH,EchoStar Communications Corporation
ERTS,Electronic Arts Inc.
FISV,"Fiserv, Inc."
GMST,Gemstar-TV Guide International Inc
GENZ,Genzyme General
MLHR,"Herman Miller, Inc."
ITWO,"i2 Technologies, Inc."
IMNX,Immunex Corporation
INTC,Intel Corporation
INTU,Intuit Inc.
JDSU,JDS Uniphase Corporation
JNPR,"Juniper Networks, Inc."
KLAC,KLA-Tencor Corporation
LGTO,"Legato Systems, Inc."
LVLT,"Level 3 Communications, Inc."
LLTC,Linear Technology Corporation
ERICY,LM Ericsson Telephone Company
MXIM,"Maxim Integrated Products, Inc."
MCLD,McLeodUSA Incorporated
MEDI,"MedImmune, Inc."
MFNX,"Metromedia Fiber Network, Inc."
MCHP,Microchip Technology Incorporated
MSFT,Microsoft Corporation
MOLX,Molex Incorporated
NTAP,"Network Appliance, Inc."
NETA,"Network Associates, Inc."
NXTL,"Nextel Communications, Inc."
NWAC,Northwest Airlines Corporation
NOVL,"Novell, Inc."
ORCL,Oracle Corporation
PCAR,PACCAR Inc
PHSY,"PacifiCare Health Systems, Inc."
PALM,"Palm, Inc."
SPOT,PanAmSat Corporation
PMTC,Parametric Technology Corporation
PAYX,"Paychex, Inc."
PSFT,"PeopleSoft, Inc."
PMCS,"PMC - Sierra, Inc."
QLGC,QLogic Corporation
QCOM,QUALCOMM Incorporated
QTRN,Quintiles Transnational Corp.
RNWK,"RealNetworks, Inc."
RFMD,"RF Micro Devices, Inc."
SANM,Sanmina Corporation
SDLI,"SDL, Inc."
SEBL,"Siebel Systems, Inc."
SIAL,Sigma-Aldrich Corporation
SSCC,Smurfit-Stone Container Corporation
SPLS,"Staples, Inc."
SBUX,Starbucks Corporation
SUNW,"Sun Microsystems, Inc."
SNPS,"Synopsys, Inc."
TLAB,"Tellabs, Inc."
USAI,"USA Networks, Inc."
VRSN,"VeriSign, Inc."
VRTS,VERITAS Software Corporation
VTSS,Vitesse Semiconductor Corporation
VSTR,VoiceStream Wireless Corporation
WCOM,"WorldCom, Inc."
XLNX,"Xilinx, Inc."
XOXO,"XO Communications, Inc."
YHOO,Yahoo! Inc.
